,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_4,topic_4,count_topic_1,topic_1,count_topic_0,topic_0,count_topic_2,topic_2,count_topic_3,topic_3
4996,jamesecraig,2017-04-01,PreCovid,5,5.0,"[[hotel, finest, 1], [restaur, advic, 1], [room, choic, 2]]",,,2.0,0.0,,,1.0,0.0,,
4997,Coopes63,2017-12-01,PreCovid,5,5.0,"[[pool, singapor, 2], [pool, great, 2]]",,,,,,,2.0,0.4,,
4998,faiza333,2017-12-01,PreCovid,5,4.0,"[[check, solid, 4], [club, strait, 0], [staff, nice, 0], [club, strait, 0]]",1.0,0.0,,,3.0,0.19999999999999998,,,,
4999,Vic B,2017-02-01,PreCovid,5,4.0,"[[room, grand, 2]]",,,,,,,1.0,0.5,,
5000,Voyager212,2017-11-01,PreCovid,5,4.0,"[[price, lowest, 2], [bathroom, 'well appoint', 2], [bathroom, good, 2], [room, singapor, 2], [view, great, 0], [view, great, 0], [walk, short, 1]]",,,1.0,0.0,2.0,0.8,4.0,0.175,,
5001,EstPed,2017-11-01,PreCovid,5,5.0,"[[stay, extra, 0], [breakfast, good, 1], [day, first, 4], [day, last, 4], [food, choic, 3]]",2.0,0.125,1.0,0.7,1.0,0.0,,,1.0,0.0
5002,VLKJ,2017-12-01,PreCovid,5,5.0,"[[bed, higher, 2], [bed, 'much higher', 2], [bed, normal, 2]]",,,,,,,3.0,0.21666666666666667,,
5003,barcarolle15,2017-10-01,PreCovid,5,5.0,"[[time, straight, 4], [time, next, 4]]",2.0,0.1,,,,,,,,
5004,Zaith05,2017-09-01,PreCovid,5,5.0,"[[staff, prime, 0]]",,,,,1.0,0.0,,,,
5005,ivyangel,2017-12-01,PreCovid,5,5.0,"[[check, earli, 4], [club, strait, 0]]",1.0,0.0,,,1.0,0.0,,,,
5006,Zonang,2017-12-01,PreCovid,5,4.0,"[[pool, small, 2]]",,,,,,,1.0,-0.25,,
5007,Karim Mess,2017-12-01,PreCovid,5,5.0,"[[food, fine, 3], [staff, servic, 0]]",,,,,1.0,0.0,,,1.0,0.4166666666666667
5008,gsrs,2017-12-01,PreCovid,5,5.0,"[[hotel, great, 1], [room, esplanad, 2], [club, strait, 0], [pool, memor, 2], [pool, consid, 2]]",,,1.0,0.8,1.0,0.0,3.0,0.0,,
5009,katexyz,2017-12-01,PreCovid,5,3.0,"[[view, overgrown, 0], [day, first, 4]]",1.0,0.25,,,1.0,0.0,,,,
5010,Esther R,2017-12-01,PreCovid,5,5.0,"[[time, first, 4], [staff, helpful, 0], [room, nice, 2], [view, beautiful, 0]]",1.0,0.25,,,2.0,0.425,1.0,0.6,,
5011,mchabaoun,2017-11-01,PreCovid,5,5.0,"[[hotel, actual, 1], [hotel, whole, 1], [help, sure, 3], [help, enough, 3]]",,,2.0,0.1,,,,,2.0,0.25
5012,maddox49,2017-12-01,PreCovid,5,3.0,[],,,,,,,,,,
5013,Michel L,2017-12-01,PreCovid,5,5.0,"[[floor, lighthous, 2], [floor, top, 2]]",,,,,,,2.0,0.25,,
5014,RFB,2017-11-01,PreCovid,5,5.0,[],,,,,,,,,,
5015,MikeB3001,2017-11-01,PreCovid,5,5.0,"[[room, 'tast done', 2], [club, strait, 0]]",,,,,1.0,0.0,1.0,0.0,,
5016,Alson_Teo,2017-12-01,PreCovid,5,5.0,"[[hotel, someth, 1], [hotel, magic, 1], [club, strait, 0], [room, known, 2], [room, notic, 2]]",,,2.0,0.25,1.0,0.0,2.0,0.0,,
5017,Keith F,2017-12-01,PreCovid,5,5.0,"[[pool, fantast, 2], [visit, next, 0]]",,,,,1.0,0.0,1.0,0.0,,
5018,Stephane V,2017-10-01,PreCovid,5,5.0,"[[manag, dedic, 4], [team, brunch, 3], [check, late, 4]]",2.0,-0.15,,,,,,,1.0,0.0
5019,Cath T,2017-10-01,PreCovid,5,5.0,"[[view, full, 0]]",,,,,1.0,0.35,,,,
5020,ReviewerMal,2017-12-01,PreCovid,5,4.0,"[[day, singapor, 4], [view, nice, 0], [hotel, perfect, 1]]",1.0,0.0,1.0,1.0,1.0,0.6,,,,
5021,johngemma2015,2017-12-01,PreCovid,5,5.0,"[[room, good, 2]]",,,,,,,1.0,0.7,,
5022,Brianna D,2017-12-01,PreCovid,5,5.0,"[[hotel, neighbour, 1]]",,,1.0,0.0,,,,,,
5023,Manish K,2017-11-01,PreCovid,5,5.0,"[[walk, joint, 1]]",,,1.0,0.0,,,,,,
5024,Nissaka (CoSa),2017-10-01,PreCovid,5,5.0,"[[hotel, singapor, 1], [restaur, best, 1]]",,,2.0,0.5,,,,,,
5025,123Richard1965,2017-12-01,PreCovid,5,3.0,"[[food, alway, 3], [manag, strive, 4], [manag, top, 4], [food, good, 3], [food, qualiti, 3]]",2.0,0.25,,,,,,,3.0,0.2333333333333333
5026,Doris C,2017-12-01,PreCovid,5,5.0,"[[bed, big, 2]]",,,,,,,1.0,0.0,,
5027,Hideo Y,2017-06-01,PreCovid,5,5.0,"[[hotel, short, 1]]",,,1.0,0.0,,,,,,
5028,alice123London,2017-11-01,PreCovid,5,5.0,"[[floor, third, 2], [night, fine, 0], [night, short, 0]]",,,,,2.0,0.20833333333333334,1.0,0.0,,
5029,vinod g,2017-11-01,PreCovid,5,4.0,"[[hotel, great, 1], [view, great, 0], [floor, upper, 2]]",,,1.0,0.8,1.0,0.8,1.0,0.0,,
5030,weepiow,2017-10-01,PreCovid,5,5.0,"[[day, later, 4], [stay, total, 0], [stay, uninterrupt, 0], [stay, brief, 0]]",1.0,0.0,,,3.0,0.0,,,,
5031,Love Travelling,2017-11-01,PreCovid,5,5.0,[],,,,,,,,,,
5032,Walkerben115,2017-12-01,PreCovid,5,5.0,"[[room, minor, 2], [room, furnitur, 2]]",,,,,,,2.0,-0.025,,
5033,Miguel D,2017-06-01,PreCovid,5,5.0,"[[breakfast, cheap, 1], [breakfast, best, 1], [room, sure, 2], [room, outward, 2]]",,,2.0,0.7,,,2.0,0.25,,
5034,lifejourneys,2017-01-01,PreCovid,5,3.0,"[[room, wrong, 2]]",,,,,,,1.0,-0.5,,
5035,Rebecca K,2017-12-01,PreCovid,5,2.0,"[[stay, singapor, 0], [stay, first, 0], [bathroom, similar, 2]]",,,,,2.0,0.125,1.0,0.0,,
5036,Ali H,2017-11-01,PreCovid,5,4.0,"[[day, first, 4], [day, second, 4]]",2.0,0.125,,,,,,,,
5037,Andy S,2017-11-01,PreCovid,5,5.0,[],,,,,,,,,,
5038,Debbie I,2017-11-01,PreCovid,5,5.0,"[[night, spent, 0], [view, great, 0], [view, 'right great', 0], [room, straight, 2], [time, normal, 4], [floor, top, 2], [food, insid, 3], [food, due, 3], [food, humid, 3]]",1.0,0.15,,,3.0,0.4142857142857143,2.0,0.35,3.0,-0.041666666666666664
5039,crosbil,2017-11-01,PreCovid,5,5.0,"[[time, first, 4], [bathroom, great, 2]]",1.0,0.25,,,,,1.0,0.8,,
5040,nutterj,2017-10-01,PreCovid,5,5.0,"[[time, first, 4], [pool, servic, 2], [day, hot, 4], [hotel, great, 1], [hotel, 'qualiti great', 1], [stay, difficult, 0], [singapor, 'anywher els', 0], [manag, singapor, 4]]",3.0,0.16666666666666666,2.0,0.8,2.0,-0.25,1.0,0.0,,
5041,Craig P,2017-11-01,PreCovid,5,5.0,"[[hotel, offic, 1], [hotel, reborn, 1], [room, smart, 2], [room, wi, 2], [floor, top, 2]]",,,2.0,0.0,,,3.0,0.2380952380952381,,
5042,Sue M,2017-09-01,PreCovid,5,5.0,"[[room, great, 2], [room, old, 2], [breakfast, great, 1], [restaur, lighthous, 1]]",,,2.0,0.4,,,2.0,0.45,,
5043,Paul H,2017-11-01,PreCovid,5,5.0,"[[food, indian, 3]]",,,,,,,,,1.0,0.0
5044,Neil A,2017-10-01,PreCovid,5,5.0,"[[enjoy, offic, 3], [club, strait, 0], [restaur, great, 1], [restaur, lighthous, 1], [breakfast, italian, 1], [restaur, great, 1], [floor, singapor, 2], [floor, top, 2]]",,,4.0,0.4,1.0,0.0,2.0,0.25,1.0,0.4
5045,Shirley L,2017-11-01,PreCovid,5,4.0,"[[hotel, nice, 1], [hotel, improv, 1], [room, great, 2], [room, special, 2], [bed, bright, 2], [pool, swim, 2], [good, lighthous, 1], [good, great, 1], [good, main, 1], [walk, new, 1], [night, slow, 0], [time, good, 4], [time, morn, 4]]",2.0,0.35,6.0,0.4366161616161615,1.0,-0.30000000000000004,4.0,0.4642857142857143,,
5046,jeyp73,2017-11-01,PreCovid,5,5.0,[],,,,,,,,,,
5047,shane n,2017-11-01,PreCovid,5,5.0,"[[walk, short, 1]]",,,1.0,0.0,,,,,,
5048,bigtuna2016,2017-02-01,PreCovid,5,5.0,"[[staff, much, 0], [price, similar, 2], [price, singapor, 2], [room, tri, 2]]",,,,,1.0,0.2,3.0,0.0,,
5049,Barbara C,2017-11-01,PreCovid,5,5.0,"[[staff, quick, 0]]",,,,,1.0,0.3333333333333333,,,,
5050,Little Legs,2016-12-01,PreCovid,5,5.0,"[[hotel, top, 1], [floor, 'longer live', 2], [floor, singapor, 2]]",,,1.0,0.5,,,2.0,0.06818181818181818,,
5051,d_nathan_99,2017-11-01,PreCovid,5,5.0,"[[check, late, 4], [room, ooz, 2]]",1.0,-0.3,,,,,1.0,0.0,,
5052,montanechris,2017-11-01,PreCovid,5,5.0,"[[view, spectacular, 0]]",,,,,1.0,0.6,,,,
5053,kth79,2017-10-01,PreCovid,5,5.0,"[[bed, huge, 2], [bed, overlook, 2], [club, good, 0], [club, proper, 0], [club, select, 0], [club, strait, 0], [breakfast, great, 1], [day, first, 4]]",1.0,0.25,1.0,0.8,4.0,0.175,2.0,0.20000000000000004,,
5054,A R H,2017-11-01,PreCovid,5,5.0,"[[hotel, super, 1], [room, right, 2], [breakfast, super, 1], [staff, good, 0], [time, long, 4]]",1.0,-0.05,2.0,0.3333333333333333,1.0,0.7,1.0,0.2857142857142857,,
5055,cgw99,2017-11-01,PreCovid,5,5.0,[],,,,,,,,,,
5056,AHAJT,2017-09-01,PreCovid,5,4.0,"[[day, second, 4], [book, sure, 4]]",2.0,0.25,,,,,,,,
5057,Jane F,2017-11-01,PreCovid,5,5.0,"[[restaur, peke, 1]]",,,1.0,0.0,,,,,,
5058,Florian R,2017-11-01,PreCovid,5,3.0,"[[room, solid, 2], [room, great, 2], [room, staid, 2], [walk, dull, 1]]",,,1.0,-0.2916666666666667,,,3.0,0.26666666666666666,,
5059,busybee0607,2017-10-01,PreCovid,5,5.0,"[[hotel, great, 1]]",,,1.0,0.8,,,,,,
5060,Ann777,2017-11-01,PreCovid,5,5.0,"[[time, pleasant, 4], [room, insid, 2], [room, top, 2], [bathroom, grand, 2], [bathroom, 'rather grand', 2]]",1.0,0.7333333333333333,,,,,4.0,0.375,,
5061,Jeremy S,2017-10-01,PreCovid,5,5.0,[],,,,,,,,,,
5062,Paul O,2017-09-01,PreCovid,5,5.0,[],,,,,,,,,,
5063,Colm K,2017-11-01,PreCovid,5,5.0,[],,,,,,,,,,
5064,Klaus A,2017-11-01,PreCovid,5,5.0,"[[room, central, 2], [time, great, 4]]",1.0,0.8,,,,,1.0,0.0,,
5065,Getout-of-england,2017-05-01,PreCovid,5,4.0,"[[room, neg, 2]]",,,,,,,1.0,0.0,,
5066,John R,2017-10-01,PreCovid,5,5.0,"[[hotel, nice, 1], [book, close, 4], [book, downtim, 4], [room, singapor, 2], [room, better, 2]]",2.0,0.0,1.0,0.6,,,2.0,0.25,,
5067,brnrd_h,2017-11-01,PreCovid,5,5.0,"[[time, pleasant, 4], [time, 'alway pleasant', 4], [time, good, 4], [staff, great, 0], [room, normal, 2], [room, arrang, 2]]",3.0,0.7222222222222222,,,1.0,0.8,2.0,0.075,,
5068,Stuart M,2017-11-01,PreCovid,5,4.0,[],,,,,,,,,,
5069,Smarty_Maddu,2017-11-01,PreCovid,5,5.0,"[[floor, nice, 2], [floor, top, 2], [breakfast, local, 1]]",,,1.0,0.0,,,2.0,0.55,,
5070,Rufus B,2017-11-01,PreCovid,5,5.0,"[[food, indian, 3]]",,,,,,,,,1.0,0.0
5071,bescott2017,2017-10-01,PreCovid,5,4.0,"[[enjoy, grand, 3]]",,,,,,,,,1.0,0.45
5072,dkandakellalea,2017-09-01,PreCovid,5,5.0,"[[visit, brief, 0]]",,,,,1.0,0.0,,,,
5073,V W,2017-10-01,PreCovid,5,5.0,"[[view, dark, 0], [food, hot, 3], [food, indian, 3]]",,,,,1.0,-0.15,,,2.0,0.125
5074,Michael C,2017-10-01,PreCovid,5,3.0,"[[staff, nice, 0], [room, grand, 2], [walk, great, 1]]",,,1.0,0.8,1.0,0.6,1.0,0.5,,
5075,sanjivbisaria2016,2017-10-01,PreCovid,5,5.0,"[[staff, singapor, 0], [food, live, 3], [staff, vibrant, 0], [staff, familiar, 0], [room, rememb, 2], [hotel, last, 1], [room, new, 2], [room, attract, 2]]",,,1.0,0.0,3.0,0.18055555555555555,3.0,0.04545454545454545,1.0,0.13636363636363635
5076,Philip H,2017-10-01,PreCovid,5,5.0,"[[time, singapor, 4], [time, first, 4], [night, brief, 0], [visit, orchard, 0], [room, standard, 2], [hotel, direct, 1]]",2.0,0.125,1.0,0.1,2.0,0.0,1.0,0.0,,
5077,Peggy K,2017-10-01,PreCovid,5,5.0,"[[food, servic, 3], [food, good, 3], [birthday, present, 3]]",,,,,,,,,3.0,0.2333333333333333
5078,donmalcolm,2017-10-01,PreCovid,5,4.0,"[[visit, grand, 0], [view, partial, 0]]",,,,,2.0,0.2,,,,
5079,kcsun71,2017-10-01,PreCovid,5,5.0,"[[hotel, nicest, 1], [birthday, critic, 3], [birthday, 'somewhat critic', 3], [floor, top, 2]]",,,1.0,0.0,,,1.0,0.5,2.0,0.0
5080,Shrek196,2017-10-01,PreCovid,5,4.0,"[[room, close, 2]]",,,,,,,1.0,0.0,,
5081,HahnJR,2017-09-01,PreCovid,5,5.0,"[[bay, better, 0], [call, local, 4]]",1.0,0.0,,,1.0,0.5,,,,
5082,DMC2,2017-10-01,PreCovid,5,5.0,"[[day, quick, 4]]",1.0,0.3333333333333333,,,,,,,,
5083,Masayoshi,2017-10-01,PreCovid,5,5.0,[],,,,,,,,,,
5084,William Y,2017-10-01,PreCovid,5,5.0,"[[day, modern, 4], [stay, overal, 0], [stay, great, 0]]",1.0,0.2,,,2.0,0.4,,,,
5085,Claus (Nicholas) Bolte,2017-10-01,PreCovid,5,3.0,"[[bay, great, 0]]",,,,,1.0,0.8,,,,
5086,andy_zu,2016-11-01,PreCovid,5,4.0,"[[room, due, 2], [room, clean, 2], [view, best, 0], [room, android, 2], [call, local, 4]]",1.0,0.0,,,1.0,1.0,3.0,0.08055555555555556,,
5087,Susanmaski,2017-10-01,PreCovid,5,5.0,"[[staff, perfect, 0]]",,,,,1.0,1.0,,,,
5088,SKKBmouth,2017-09-01,PreCovid,5,4.0,"[[cake, nice, 3], [time, nice, 4]]",1.0,0.6,,,,,,,1.0,0.6
5089,MelGeorge,2017-04-01,PreCovid,5,5.0,"[[time, singapor, 4], [staff, due, 0], [staff, small, 0], [team, pablo, 3], [team, kush, 3], [book, much, 4]]",2.0,0.1,,,2.0,-0.1875,,,2.0,0.0
5090,lenorenewyork,2017-08-01,PreCovid,5,5.0,"[[time, first, 4], [singapor, right, 0]]",1.0,0.25,,,1.0,0.2857142857142857,,,,
5091,Luke C,2017-10-01,PreCovid,5,5.0,"[[thank, huge, 3], [room, singapor, 2], [room, brilliant, 2]]",,,,,,,2.0,0.45,1.0,0.4000000000000001
5092,ctwino,2017-10-01,PreCovid,5,5.0,[],,,,,,,,,,
5093,Priscelia,2017-10-01,PreCovid,5,5.0,"[[club, strait, 0], [manag, next, 4], [manag, morn, 4]]",2.0,0.0,,,1.0,0.0,,,,
5094,kimKB,2017-10-01,PreCovid,5,5.0,"[[bathroom, clean, 2], [bathroom, big, 2], [staff, cute, 0]]",,,,,1.0,0.5,2.0,0.18333333333333335,,
5095,Luxury6,2017-10-01,PreCovid,5,4.0,"[[room, nice, 2], [room, top, 2], [room, standard, 2], [help, humid, 3]]",,,,,,,3.0,0.3666666666666667,1.0,0.0
5096,Saracjb,2017-10-01,PreCovid,5,5.0,"[[bed, good, 2], [bathroom, high, 2], [bathroom, qualiti, 2]]",,,,,,,3.0,0.2866666666666667,,
5097,brian c,2016-12-01,PreCovid,5,5.0,"[[hotel, whole, 1]]",,,1.0,0.2,,,,,,
5098,Nysiros,2017-10-01,PreCovid,5,5.0,"[[stay, recent, 0], [tea, high, 3]]",,,,,1.0,0.0,,,1.0,0.16
5099,Christfx,2017-10-01,PreCovid,5,5.0,"[[stay, prior, 0], [stay, rememb, 0], [stay, special, 0], [stay, short, 0]]",,,,,4.0,0.08928571428571429,,,,
5100,Mark G,2017-10-01,PreCovid,5,5.0,[],,,,,,,,,,
5101,785t,2017-09-01,PreCovid,5,4.0,"[[floor, tri, 2], [floor, top, 2]]",,,,,,,2.0,0.25,,
5102,tuxyanonim,2017-10-01,PreCovid,5,4.0,"[[walk, close, 1], [hotel, close, 1], [pool, alway, 2], [time, everi, 4]]",1.0,0.0,2.0,0.0,,,1.0,0.0,,
5103,Allan M,2017-10-01,PreCovid,5,5.0,"[[staff, great, 0], [room, great, 2]]",,,,,1.0,0.8,1.0,0.8,,
5104,farnhogals,2017-10-01,PreCovid,5,5.0,"[[time, sever, 4]]",1.0,0.0,,,,,,,,
5105,garylisap,2017-10-01,PreCovid,5,5.0,"[[cake, select, 3]]",,,,,,,,,1.0,0.0
5106,GoldCoastOzzie,2017-04-01,PreCovid,5,3.0,"[[singapor, bad, 0], [singapor, 'good bad', 0], [singapor, central, 0], [view, enabl, 0], [floor, spectacular, 2]]",,,,,4.0,-0.17499999999999993,1.0,0.6,,
5107,Nicola S,2016-11-01,PreCovid,5,5.0,[],,,,,,,,,,
5108,v666kkk,2017-10-01,PreCovid,5,1.0,"[[check, late, 4], [desk, front, 4], [time, first, 4], [time, last, 4]]",4.0,-0.012499999999999997,,,,,,,,
5109,Johanna O,2017-08-01,PreCovid,5,5.0,"[[tea, high, 3], [tea, top, 3], [tea, high, 3]]",,,,,,,,,3.0,0.2733333333333334
5110,MarkJonesDownUnder,2017-10-01,PreCovid,5,5.0,"[[hotel, great, 1], [staff, great, 0]]",,,1.0,0.8,1.0,0.8,,,,
5111,Jamjdw5354,2017-10-01,PreCovid,5,5.0,"[[room, english, 2]]",,,,,,,1.0,0.0,,
5112,Edwardlovestotravel,2017-01-01,PreCovid,5,5.0,"[[room, local, 2]]",,,,,,,1.0,0.0,,
5113,Clare F,2017-10-01,PreCovid,5,5.0,"[[view, servic, 0], [food, worth, 3], [time, present, 4]]",1.0,0.0,,,1.0,0.0,,,1.0,0.3
5114,Peggy G,2017-08-01,PreCovid,5,5.0,"[[hotel, singapor, 1]]",,,1.0,0.0,,,,,,
5115,DevendraW,2017-09-01,PreCovid,5,3.0,"[[view, singapor, 0]]",,,,,1.0,0.0,,,,
5116,stephengray588,2017-09-01,PreCovid,5,5.0,[],,,,,,,,,,
5117,Bev M,2017-09-01,PreCovid,5,5.0,[],,,,,,,,,,
5118,Jennifer L,2017-09-01,PreCovid,5,4.0,"[[view, great, 0], [time, last, 4], [book, overlook, 4]]",2.0,0.0,,,1.0,0.8,,,,
5119,John,2017-09-01,PreCovid,5,5.0,"[[breakfast, standard, 1], [excel, servic, 1], [excel, impecc, 1], [book, worth, 4], [book, 'well worth', 4]]",2.0,0.3,3.0,0.0,,,,,,
5120,Antwasthere,2017-09-01,PreCovid,5,4.0,"[[hotel, big, 1]]",,,1.0,0.0,,,,,,
5121,07GJB,2017-09-01,PreCovid,5,5.0,"[[check, late, 4]]",1.0,-0.3,,,,,,,,
5122,JB B,2016-11-01,PreCovid,5,5.0,"[[enjoy, spacious, 3], [time, back, 4], [hotel, insid, 1]]",1.0,0.0,1.0,0.0,,,,,1.0,0.4
5123,Jane B,2017-09-01,PreCovid,5,4.0,[],,,,,,,,,,
5124,EastmeetsWestAB,2017-09-01,PreCovid,5,5.0,"[[stay, great, 0], [friendli, servic, 3], [friendli, quick, 3], [room, enough, 2], [room, 'kind enough', 2], [call, free, 4], [pool, outdoor, 2], [pool, swim, 2]]",1.0,0.4,,,1.0,0.8,4.0,0.075,2.0,0.16666666666666666
5125,v5lerie,2016-12-01,PreCovid,5,5.0,"[[room, late, 2]]",,,,,,,1.0,-0.3,,
5126,DanRevLee,2017-09-01,PreCovid,5,1.0,[],,,,,,,,,,
5127,travelboy71,2017-09-01,PreCovid,5,5.0,"[[hotel, much, 1], [night, rememb, 0]]",,,1.0,0.2,1.0,0.0,,,,
5128,James W,2017-09-01,PreCovid,5,5.0,[],,,,,,,,,,
5129,Kayley H,2016-10-01,PreCovid,5,5.0,"[[singapor, poshest, 0]]",,,,,1.0,0.0,,,,
5130,Tom S,2017-09-01,PreCovid,5,3.0,"[[room, great, 2], [bed, nice, 2]]",,,,,,,2.0,0.7,,
5131,Adam W,2017-09-01,PreCovid,5,5.0,"[[club, strait, 0], [view, spectacular, 0]]",,,,,2.0,0.3,,,,
5132,OzOzDave,2017-05-01,PreCovid,5,4.0,"[[hotel, offic, 1], [walk, pleasant, 1]]",,,2.0,0.36666666666666664,,,,,,
5133,Pascal,2017-09-01,PreCovid,5,4.0,"[[room, nice, 2], [food, qualiti, 3]]",,,,,,,1.0,0.6,1.0,0.0
5134,yagicorp,2017-09-01,PreCovid,5,5.0,"[[hotel, perfect, 1], [hotel, choic, 1]]",,,2.0,0.5,,,,,,
5135,Thaiowl,2017-09-01,PreCovid,5,3.0,"[[room, 'well hidden', 2], [staff, smooth, 0], [restaur, lighthous, 1], [restaur, italian, 1]]",,,2.0,0.0,1.0,0.4,1.0,-0.16666666666666666,,
5136,Reenie312,2017-09-01,PreCovid,5,5.0,"[[room, singapor, 2], [club, quiet, 0], [room, strait, 2]]",,,,,1.0,0.0,2.0,0.0,,
5137,EllieRoseB,2017-08-01,PreCovid,5,5.0,[],,,,,,,,,,
5138,fernando r,2017-09-01,PreCovid,5,3.0,"[[food, actual, 3], [food, equal, 3]]",,,,,,,,,2.0,0.0
5139,Billie012013,2017-09-01,PreCovid,5,4.0,"[[time, next, 4]]",1.0,0.0,,,,,,,,
5140,Ang10710,2017-09-01,PreCovid,5,5.0,[],,,,,,,,,,
5141,Chye Guan,2016-12-01,PreCovid,5,4.0,[],,,,,,,,,,
5142,achalen h,2017-07-01,PreCovid,5,5.0,"[[hotel, formal, 1], [staff, front, 0], [staff, hous, 0]]",,,1.0,0.0,2.0,0.0,,,,
5143,Margarita2903,2017-08-01,PreCovid,5,5.0,"[[price, dish, 2], [price, servic, 2], [price, good, 2]]",,,,,,,3.0,0.2333333333333333,,
5144,LittleStar2016,2017-09-01,PreCovid,5,4.0,[],,,,,,,,,,
5145,Emma G,2017-09-01,PreCovid,5,5.0,"[[hotel, great, 1], [friendli, huge, 3], [friendli, select, 3], [friendli, western, 3], [friendli, eastern, 3]]",,,1.0,0.8,,,,,4.0,0.10000000000000002
5146,Keith010654,2017-09-01,PreCovid,5,5.0,"[[staff, impecc, 0], [room, great, 2], [singapor, better, 0]]",,,,,2.0,0.25,1.0,0.8,,
5147,A_Low,2017-09-01,PreCovid,5,5.0,"[[food, celebr, 3], [time, amili, 4]]",1.0,0.0,,,,,,,1.0,0.0
5148,Liv L,2017-07-01,PreCovid,5,5.0,"[[bathroom, big, 2], [stay, ritual, 0]]",,,,,1.0,0.0,1.0,0.0,,
5149,Swisspeach1,2017-08-01,PreCovid,5,5.0,"[[food, lighthous, 3], [food, best, 3], [food, italian, 3], [time, includ, 4], [time, 'ever includ', 4]]",2.0,0.0,,,,,,,3.0,0.3333333333333333
5150,Cerys P,2017-08-01,PreCovid,5,5.0,"[[day, super, 4], [time, good, 4]]",2.0,0.5166666666666666,,,,,,,,
5151,sirsteve1960,2017-09-01,PreCovid,5,5.0,[],,,,,,,,,,
5152,Ken C,2017-09-01,PreCovid,5,5.0,"[[night, singapor, 0], [night, last, 0], [room, rich, 2], [room, pamper, 2]]",,,,,2.0,0.0,2.0,0.1875,,
5153,BrendaB247365,2017-09-01,PreCovid,5,4.0,"[[tea, high, 3], [tea, high, 3]]",,,,,,,,,2.0,0.16
5154,Sony S,2017-09-01,PreCovid,5,5.0,"[[day, twice, 4], [room, singapor, 2]]",1.0,0.0,,,,,1.0,0.0,,
5155,mike62202016,2017-08-01,PreCovid,5,5.0,"[[hotel, full, 1], [hotel, experi, 1], [hotel, nice, 1]]",,,3.0,0.31666666666666665,,,,,,
5156,flyawaydb2017,2017-08-01,PreCovid,5,5.0,[],,,,,,,,,,
5157,rowlong,2017-09-01,PreCovid,5,5.0,"[[club, strait, 0], [room, first, 2]]",,,,,1.0,0.0,1.0,0.25,,
5158,wwj5407,2017-09-01,PreCovid,5,1.0,"[[manag, poor, 4], [book, last, 4]]",2.0,-0.2,,,,,,,,
5159,Timthekiwi,2017-08-01,PreCovid,5,4.0,"[[time, singapor, 4], [time, differ, 4], [view, singapor, 0], [room, quiet, 2], [bathroom, big, 2]]",2.0,0.0,,,1.0,0.0,2.0,0.0,,
5160,BusinessBear,2017-08-01,PreCovid,5,4.0,"[[visit, worth, 0]]",,,,,1.0,0.3,,,,
5161,Jdeppman,2017-08-01,PreCovid,5,5.0,[],,,,,,,,,,
5162,AlwaysDiscerning,2017-08-01,PreCovid,5,5.0,"[[room, recent, 2], [room, strait, 2], [singapor, precinct, 0], [time, 'much earlier', 4], [time, usual, 4]]",2.0,-0.125,,,1.0,0.0,2.0,0.0,,
5163,Laura O,2017-02-01,PreCovid,5,4.0,"[[hotel, great, 1], [room, great, 2], [hotel, nice, 1], [hotel, quiet, 1], [hotel, big, 1]]",,,4.0,0.35,,,1.0,0.8,,
5164,Tiffany M,2017-05-01,PreCovid,5,5.0,"[[time, best, 4]]",1.0,1.0,,,,,,,,
5165,tuesdayjones,2017-07-01,PreCovid,5,5.0,"[[visit, recent, 0], [love, 'also good', 0], [love, 'best seen', 0], [good, servic, 1]]",,,1.0,0.7,3.0,0.45,,,,
5166,edntin,2017-05-01,PreCovid,5,2.0,"[[day, unfortun, 4]]",1.0,0.0,,,,,,,,
5167,dsmorley,2017-08-01,PreCovid,5,5.0,[],,,,,,,,,,
5168,faranghusband,2017-08-01,PreCovid,5,4.0,"[[floor, sixth, 2], [time, local, 4], [time, strait, 4]]",2.0,0.0,,,,,1.0,0.0,,
5169,Junaidi A,2017-04-01,PreCovid,5,4.0,"[[day, clearli, 4]]",1.0,0.0,,,,,,,,
5170,Christos1965,2017-08-01,PreCovid,5,5.0,"[[view, great, 0], [restaur, nice, 1], [food, great, 3], [food, servic, 3], [food, great, 3]]",,,1.0,0.6,1.0,0.8,,,3.0,0.5333333333333333
5171,David P,2017-08-01,PreCovid,5,5.0,"[[time, last, 4], [restaur, easi, 1]]",1.0,0.0,1.0,0.0,,,,,,
5172,SumanMukhopadhyay,2017-08-01,PreCovid,5,5.0,[],,,,,,,,,,
5173,Paul C,2017-08-01,PreCovid,5,5.0,"[[hotel, great, 1], [help, great, 3], [room, advic, 2]]",,,1.0,0.8,,,1.0,0.0,1.0,0.8
5174,jp-g-Fr,2017-08-01,PreCovid,5,5.0,"[[staff, singapor, 0], [hotel, rare, 1]]",,,1.0,0.3,1.0,0.0,,,,
5175,nanoleelo,2017-08-01,PreCovid,5,2.0,[],,,,,,,,,,
5176,aliwahab79,2017-08-01,PreCovid,5,5.0,"[[staff, well, 0], [room, bigger, 2]]",,,,,1.0,0.0,1.0,0.0,,
5177,Robert W,2017-08-01,PreCovid,5,5.0,"[[hotel, singapor, 1], [visit, singapor, 0]]",,,1.0,0.0,1.0,0.0,,,,
